Path;Total;R1;R2;Comments;R3;;Legenda:
;;;;;;;Total = RIGHE TOTALI
E:\ANITA-Dumps-Uncompressed\Sample 1\darkmarketsomqvzqfjudpd6t5eabgvvpplrbtzq6prervyogenlrlqd.onion\vendor\b7f6df50-c99a-11e9-bdd6-23ac669d46a8\feedback.html;30;29;1;1;3,33%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\darkmarketsomqvzqfjudpd6t5eabgvvpplrbtzq6prervyogenlrlqd.onion\vendor\e54cb6c0-8f7d-11e9-a335-b3ceb41d15cb\feedback.html;113;85;1;28;24,78%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\darkmarketsomqvzqfjudpd6t5eabgvvpplrbtzq6prervyogenlrlqd.onion\vendor\eb9c62e0-be06-11e9-8ba4-d3de28f48c98\feedback.html;114;105;2;9;7,89%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\darkmarketsomqvzqfjudpd6t5eabgvvpplrbtzq6prervyogenlrlqd.onion\vendor\efe619c0-c704-11e9-af44-47cfd56479b4\feedback.html;66;55;1;11;16,67%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\darkmarketsomqvzqfjudpd6t5eabgvvpplrbtzq6prervyogenlrlqd.onion\vendor\f898bab0-abea-11e9-a74f-05fb45683bdb\feedback.html;107;86;3;21;19,63%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\darkmarketsomqvzqfjudpd6t5eabgvvpplrbtzq6prervyogenlrlqd.onion\vendor\fa84d6c0-325f-11ea-a669-83ce310baa55\feedback.html;1;1;0;0;0,00%;;
